startThreads creating 1 threads.
starting thread 0
started thread 0
argc=2
argv[0] = --unused
argv[1] = --start_demo_name=Physics Server
ExampleBrowserThreadFunc started
X11 functions dynamically loaded using dlopen/dlsym OK!
X11 functions dynamically loaded using dlopen/dlsym OK!
Creating context
Created GL 3.3 context
Direct GLX rendering context obtained
Making context current
GL_VENDOR=NVIDIA Corporation
GL_RENDERER=NVIDIA GeForce RTX 4060/PCIe/SSE2
GL_VERSION=3.3.0 NVIDIA 535.183.01
GL_SHADING_LANGUAGE_VERSION=3.30 NVIDIA via Cg compiler
pthread_getconcurrency()=0
Version = 3.3.0 NVIDIA 535.183.01
Vendor = NVIDIA Corporation
Renderer = NVIDIA GeForce RTX 4060/PCIe/SSE2
b3Printf: Selected demo: Physics Server
startThreads creating 1 threads.
starting thread 0
started thread 0
MotionThreadFunc thread started
ven = NVIDIA Corporation
ven = NVIDIA Corporation
/home/balage/anaconda3/lib/python3.12/site-packages/torch/cuda/__init__.py:129: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ppo_cartpole_tensorboard/PPO_4
distance_to_goal: 1.5275772834736152, terminated: False, truncated: False
distance_to_goal: 1.5272834834929756, terminated: False, truncated: False
distance_to_goal: 1.5278702027195323, terminated: False, truncated: False
distance_to_goal: 1.5294678680525366, terminated: False, truncated: False
distance_to_goal: 1.5296585977362336, terminated: False, truncated: False
distance_to_goal: 1.5294779852776317, terminated: False, truncated: False
distance_to_goal: 1.5301236322956908, terminated: False, truncated: False
distance_to_goal: 1.5314725865637704, terminated: False, truncated: False
distance_to_goal: 1.5320150438340236, terminated: False, truncated: False
distance_to_goal: 1.5326097145817859, terminated: False, truncated: False
distance_to_goal: 1.533261984792118, terminated: False, truncated: False
distance_to_goal: 1.5333101709846495, terminated: False, truncated: False
distance_to_goal: 1.5338234314335397, terminated: False, truncated: False
distance_to_goal: 1.535153059838678, terminated: False, truncated: False
distance_to_goal: 1.5360462685285146, terminated: False, truncated: False
distance_to_goal: 1.5375345149748596, terminated: False, truncated: False
distance_to_goal: 1.5395590650003534, terminated: False, truncated: False
distance_to_goal: 1.5405640102401288, terminated: False, truncated: False
distance_to_goal: 1.5420364727760962, terminated: False, truncated: False
distance_to_goal: 1.5440320246641817, terminated: False, truncated: False
distance_to_goal: 1.5445826217600707, terminated: False, truncated: False
distance_to_goal: 1.5446470069629947, terminated: False, truncated: False
distance_to_goal: 1.543525634104648, terminated: False, truncated: False
distance_to_goal: 1.542737949377505, terminated: False, truncated: False
distance_to_goal: 1.542051415961127, terminated: False, truncated: False
distance_to_goal: 1.5414689785718267, terminated: False, truncated: False
distance_to_goal: 1.5418572510597004, terminated: False, truncated: False
distance_to_goal: 1.541224405129317, terminated: False, truncated: False
distance_to_goal: 1.5408794704900497, terminated: False, truncated: False
distance_to_goal: 1.5399399336596888, terminated: False, truncated: False
distance_to_goal: 1.5389963152769683, terminated: False, truncated: False
distance_to_goal: 1.5375719172355287, terminated: False, truncated: False
distance_to_goal: 1.5356621579679175, terminated: False, truncated: False
distance_to_goal: 1.5345149732330052, terminated: False, truncated: False
distance_to_goal: 1.534662092173568, terminated: False, truncated: False
distance_to_goal: 1.5343846620084403, terminated: False, truncated: False
distance_to_goal: 1.5339345162494291, terminated: False, truncated: False
distance_to_goal: 1.534352909813575, terminated: False, truncated: False
distance_to_goal: 1.534788065128693, terminated: False, truncated: False
distance_to_goal: 1.536286333158291, terminated: False, truncated: False
distance_to_goal: 1.5383640789602535, terminated: False, truncated: False
distance_to_goal: 1.5408060702431952, terminated: False, truncated: False
distance_to_goal: 1.5422316321697673, terminated: False, truncated: False
distance_to_goal: 1.5436929719544323, terminated: False, truncated: False
distance_to_goal: 1.5456928742699985, terminated: False, truncated: False
distance_to_goal: 1.5472779060386344, terminated: False, truncated: False
distance_to_goal: 1.5483963856004004, terminated: False, truncated: False
distance_to_goal: 1.5508078284971956, terminated: False, truncated: False
distance_to_goal: 1.5526806597135756, terminated: False, truncated: False
distance_to_goal: 1.5550720406330716, terminated: False, truncated: False
distance_to_goal: 1.556922094511543, terminated: False, truncated: False
distance_to_goal: 1.5594035364459164, terminated: False, truncated: False
distance_to_goal: 1.5608070950220159, terminated: False, truncated: False
distance_to_goal: 1.5609611638861864, terminated: False, truncated: False
distance_to_goal: 1.5613767064636128, terminated: False, truncated: False
distance_to_goal: 1.5623761175364066, terminated: False, truncated: False
distance_to_goal: 1.5630248051967697, terminated: False, truncated: False
distance_to_goal: 1.5628629977851898, terminated: False, truncated: False
distance_to_goal: 1.56282332472244, terminated: False, truncated: False
distance_to_goal: 1.5628744660662501, terminated: False, truncated: False
distance_to_goal: 1.5627472018868345, terminated: False, truncated: False
distance_to_goal: 1.5614821602633349, terminated: False, truncated: False
distance_to_goal: 1.5602262177804187, terminated: False, truncated: False
distance_to_goal: 1.5603799338441884, terminated: False, truncated: False
distance_to_goal: 1.560599264070896, terminated: False, truncated: False
distance_to_goal: 1.5607597094274461, terminated: False, truncated: False
distance_to_goal: 1.561608262333932, terminated: False, truncated: False
distance_to_goal: 1.5634547119654694, terminated: False, truncated: False
distance_to_goal: 1.5665833241318285, terminated: False, truncated: False
distance_to_goal: 1.5686416993827963, terminated: False, truncated: False
distance_to_goal: 1.5695106575189604, terminated: False, truncated: False
distance_to_goal: 1.5704677387007164, terminated: False, truncated: False
distance_to_goal: 1.569765184913315, terminated: False, truncated: False
distance_to_goal: 1.5691316424314155, terminated: False, truncated: False
distance_to_goal: 1.5691593475896866, terminated: False, truncated: False
distance_to_goal: 1.5690508656716429, terminated: False, truncated: False
distance_to_goal: 1.569134927215094, terminated: False, truncated: False
distance_to_goal: 1.5695258509280032, terminated: False, truncated: False
distance_to_goal: 1.5694689566627855, terminated: False, truncated: False
distance_to_goal: 1.5694924338393046, terminated: False, truncated: False
distance_to_goal: 1.5701880338233432, terminated: False, truncated: False
distance_to_goal: 1.5714372449760927, terminated: False, truncated: False
distance_to_goal: 1.572580108043434, terminated: False, truncated: False
distance_to_goal: 1.573970665609699, terminated: False, truncated: False
distance_to_goal: 1.5748948760283445, terminated: False, truncated: False
distance_to_goal: 1.5760226935720134, terminated: False, truncated: False
distance_to_goal: 1.576171882286731, terminated: False, truncated: False
distance_to_goal: 1.5749764301600462, terminated: False, truncated: False
