startThreads creating 1 threads.
starting thread 0
started thread 0
argc=2
argv[0] = --unused
argv[1] = --start_demo_name=Physics Server
ExampleBrowserThreadFunc started
X11 functions dynamically loaded using dlopen/dlsym OK!
X11 functions dynamically loaded using dlopen/dlsym OK!
Creating context
Created GL 3.3 context
Direct GLX rendering context obtained
Making context current
GL_VENDOR=NVIDIA Corporation
GL_RENDERER=NVIDIA GeForce RTX 4060/PCIe/SSE2
GL_VERSION=3.3.0 NVIDIA 535.183.01
GL_SHADING_LANGUAGE_VERSION=3.30 NVIDIA via Cg compiler
pthread_getconcurrency()=0
Version = 3.3.0 NVIDIA 535.183.01
Vendor = NVIDIA Corporation
Renderer = NVIDIA GeForce RTX 4060/PCIe/SSE2
b3Printf: Selected demo: Physics Server
startThreads creating 1 threads.
starting thread 0
started thread 0
MotionThreadFunc thread started
ven = NVIDIA Corporation
ven = NVIDIA Corporation
/home/balage/anaconda3/lib/python3.12/site-packages/torch/cuda/__init__.py:129: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ppo_cartpole_tensorboard/PPO_4
distance_to_goal: 1.4964276148876303, terminated: False, truncated: False
distance_to_goal: 1.4955402206398472, terminated: False, truncated: False
distance_to_goal: 1.495406820372811, terminated: False, truncated: False
distance_to_goal: 1.4945686838418513, terminated: False, truncated: False
distance_to_goal: 1.494601783513285, terminated: False, truncated: False
distance_to_goal: 1.4946674510844935, terminated: False, truncated: False
distance_to_goal: 1.4947626182506215, terminated: False, truncated: False
distance_to_goal: 1.4954997672634938, terminated: False, truncated: False
distance_to_goal: 1.4968566419154825, terminated: False, truncated: False
distance_to_goal: 1.497915520602324, terminated: False, truncated: False
distance_to_goal: 1.5002773590522875, terminated: False, truncated: False
distance_to_goal: 1.5021857266962946, terminated: False, truncated: False
distance_to_goal: 1.5037248383090203, terminated: False, truncated: False
distance_to_goal: 1.5055607592284863, terminated: False, truncated: False
distance_to_goal: 1.5074931827198654, terminated: False, truncated: False
distance_to_goal: 1.5099872553979452, terminated: False, truncated: False
distance_to_goal: 1.5121220540007194, terminated: False, truncated: False
distance_to_goal: 1.5137449229073894, terminated: False, truncated: False
distance_to_goal: 1.5160060269179576, terminated: False, truncated: False
distance_to_goal: 1.5190528113495625, terminated: False, truncated: False
distance_to_goal: 1.5209624830014412, terminated: False, truncated: False
distance_to_goal: 1.5222870604385097, terminated: False, truncated: False
distance_to_goal: 1.5237342331676096, terminated: False, truncated: False
distance_to_goal: 1.524598835419909, terminated: False, truncated: False
distance_to_goal: 1.524944438715326, terminated: False, truncated: False
distance_to_goal: 1.5242678374003509, terminated: False, truncated: False
distance_to_goal: 1.5247295053771823, terminated: False, truncated: False
distance_to_goal: 1.5253673267597814, terminated: False, truncated: False
distance_to_goal: 1.5266334366660828, terminated: False, truncated: False
distance_to_goal: 1.5273899781091247, terminated: False, truncated: False
distance_to_goal: 1.5283457595745154, terminated: False, truncated: False
distance_to_goal: 1.5282856061453092, terminated: False, truncated: False
distance_to_goal: 1.5290174268579242, terminated: False, truncated: False
distance_to_goal: 1.530364886245956, terminated: False, truncated: False
distance_to_goal: 1.5312524175789228, terminated: False, truncated: False
distance_to_goal: 1.5316344688364636, terminated: False, truncated: False
distance_to_goal: 1.5333063544225765, terminated: False, truncated: False
distance_to_goal: 1.5362073543771935, terminated: False, truncated: False
distance_to_goal: 1.5376699803923874, terminated: False, truncated: False
distance_to_goal: 1.5388608084490678, terminated: False, truncated: False
distance_to_goal: 1.5389260732888455, terminated: False, truncated: False
distance_to_goal: 1.5391537330799538, terminated: False, truncated: False
distance_to_goal: 1.5389257968032062, terminated: False, truncated: False
distance_to_goal: 1.538500791356998, terminated: False, truncated: False
distance_to_goal: 1.5371143114941208, terminated: False, truncated: False
distance_to_goal: 1.5366821123280592, terminated: False, truncated: False
distance_to_goal: 1.5356934603054495, terminated: False, truncated: False
distance_to_goal: 1.5353794123680107, terminated: False, truncated: False
distance_to_goal: 1.5358458325976, terminated: False, truncated: False
distance_to_goal: 1.5357384935244118, terminated: False, truncated: False
distance_to_goal: 1.5348878098781666, terminated: False, truncated: False
distance_to_goal: 1.5339569056666602, terminated: False, truncated: False
distance_to_goal: 1.5337994887318813, terminated: False, truncated: False
distance_to_goal: 1.5329685843812626, terminated: False, truncated: False
distance_to_goal: 1.5316789701009363, terminated: False, truncated: False
distance_to_goal: 1.531362377113316, terminated: False, truncated: False
distance_to_goal: 1.5310970761719256, terminated: False, truncated: False
distance_to_goal: 1.5310588564402448, terminated: False, truncated: False
distance_to_goal: 1.530396233581465, terminated: False, truncated: False
distance_to_goal: 1.5291515504277624, terminated: False, truncated: False
distance_to_goal: 1.5292053506889907, terminated: False, truncated: False
distance_to_goal: 1.5287463945207382, terminated: False, truncated: False
distance_to_goal: 1.5283502086691128, terminated: False, truncated: False
distance_to_goal: 1.528066982086302, terminated: False, truncated: False
distance_to_goal: 1.5278387448414785, terminated: False, truncated: False
distance_to_goal: 1.5281078173235272, terminated: False, truncated: False
distance_to_goal: 1.5270766364472832, terminated: False, truncated: False
distance_to_goal: 1.5268213547507408, terminated: False, truncated: False
distance_to_goal: 1.5278015372982845, terminated: False, truncated: False
distance_to_goal: 1.528934309552694, terminated: False, truncated: False
distance_to_goal: 1.5299008343965588, terminated: False, truncated: False
distance_to_goal: 1.5305464561300532, terminated: False, truncated: False
distance_to_goal: 1.531305450136007, terminated: False, truncated: False
distance_to_goal: 1.5324090739370222, terminated: False, truncated: False
distance_to_goal: 1.5338196356038936, terminated: False, truncated: False
distance_to_goal: 1.5349393130790712, terminated: False, truncated: False
distance_to_goal: 1.5361757300424939, terminated: False, truncated: False
distance_to_goal: 1.536336291308599, terminated: False, truncated: False
distance_to_goal: 1.5356810961687437, terminated: False, truncated: False
distance_to_goal: 1.5339450333514644, terminated: False, truncated: False
distance_to_goal: 1.5327532259462484, terminated: False, truncated: False
distance_to_goal: 1.5316888752903801, terminated: False, truncated: False
distance_to_goal: 1.5300094356438705, terminated: False, truncated: False
distance_to_goal: 1.5282101584069436, terminated: False, truncated: False
distance_to_goal: 1.5270023059212785, terminated: False, truncated: False
distance_to_goal: 1.5262371589133583, terminated: False, truncated: False
distance_to_goal: 1.526275652173854, terminated: False, truncated: False
distance_to_goal: 1.5263665560733173, terminated: False, truncated: False
distance_to_goal: 1.5273754631195033, terminated: False, truncated: False
distance_to_goal: 1.527790955511181, terminated: False, truncated: False
distance_to_goal: 1.5280455581895287, terminated: False, truncated: False
distance_to_goal: 1.528719552883527, terminated: False, truncated: False
distance_to_goal: 1.528918370620463, terminated: False, truncated: False
distance_to_goal: 1.5285271013490198, terminated: False, truncated: False
distance_to_goal: 1.5277554661628607, terminated: False, truncated: False
distance_to_goal: 1.5268581143138973, terminated: False, truncated: False
distance_to_goal: 1.5249916389214662, terminated: False, truncated: False
distance_to_goal: 1.5230946793571822, terminated: False, truncated: False
distance_to_goal: 1.5218524358782768, terminated: False, truncated: False
distance_to_goal: 1.5212711284259914, terminated: False, truncated: False
distance_to_goal: 1.5203060365570977, terminated: False, truncated: False
distance_to_goal: 1.5194615323729548, terminated: False, truncated: False
distance_to_goal: 1.5194815983932024, terminated: False, truncated: False
distance_to_goal: 1.5189746380348486, terminated: False, truncated: False
distance_to_goal: 1.519599271860567, terminated: False, truncated: False
distance_to_goal: 1.519088387760465, terminated: False, truncated: False
distance_to_goal: 1.5174980718079873, terminated: False, truncated: False
distance_to_goal: 1.5162136362429266, terminated: False, truncated: False
distance_to_goal: 1.5161695498429595, terminated: False, truncated: False
distance_to_goal: 1.5146900821770823, terminated: False, truncated: False
distance_to_goal: 1.5130989501153245, terminated: False, truncated: False
distance_to_goal: 1.5118399977853827, terminated: False, truncated: False
distance_to_goal: 1.5106808721693419, terminated: False, truncated: False
distance_to_goal: 1.508381953010394, terminated: False, truncated: False
distance_to_goal: 1.5056372868844834, terminated: False, truncated: False
distance_to_goal: 1.5036522521398523, terminated: False, truncated: False
distance_to_goal: 1.5029708708816827, terminated: False, truncated: False
distance_to_goal: 1.5028996506239276, terminated: False, truncated: False
distance_to_goal: 1.5025024084602305, terminated: False, truncated: False
distance_to_goal: 1.502289339922274, terminated: False, truncated: False
distance_to_goal: 1.5012385445501184, terminated: False, truncated: False
distance_to_goal: 1.5003583657728459, terminated: False, truncated: False
distance_to_goal: 1.4994183614765146, terminated: False, truncated: False
distance_to_goal: 1.4993007668724894, terminated: False, truncated: False
distance_to_goal: 1.4985279778232374, terminated: False, truncated: False
distance_to_goal: 1.498580562027476, terminated: False, truncated: False
distance_to_goal: 1.4986185327077028, terminated: False, truncated: False
distance_to_goal: 1.4989022444870634, terminated: False, truncated: False
distance_to_goal: 1.4985218936381197, terminated: False, truncated: False
distance_to_goal: 1.4982752326856157, terminated: False, truncated: False
distance_to_goal: 1.4969780425830537, terminated: False, truncated: False
distance_to_goal: 1.4949809777536813, terminated: False, truncated: False
distance_to_goal: 1.493041274541762, terminated: False, truncated: False
distance_to_goal: 1.490870711792075, terminated: False, truncated: False
distance_to_goal: 1.4891245572463885, terminated: False, truncated: False
distance_to_goal: 1.4882509931892849, terminated: False, truncated: False
distance_to_goal: 1.4880277974155143, terminated: False, truncated: False
distance_to_goal: 1.4882783270595596, terminated: False, truncated: False
distance_to_goal: 1.4880845247447145, terminated: False, truncated: False
distance_to_goal: 1.4884964536405354, terminated: False, truncated: False
distance_to_goal: 1.4896416658572, terminated: False, truncated: False
distance_to_goal: 1.4897189707316478, terminated: False, truncated: False
distance_to_goal: 1.4899026758527367, terminated: False, truncated: False
distance_to_goal: 1.489423891202811, terminated: False, truncated: False
distance_to_goal: 1.4879124466940017, terminated: False, truncated: False
distance_to_goal: 1.486540544432215, terminated: False, truncated: False
distance_to_goal: 1.4846376232335041, terminated: False, truncated: False
