/home/balage/anaconda3/lib/python3.12/site-packages/torch/cuda/__init__.py:129: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ppo_cartpole_tensorboard/PPO_4
distance_to_goal: 1.5464822691050952, terminated: False, truncated: False
distance_to_goal: 1.5459369386230268, terminated: False, truncated: False
distance_to_goal: 1.5454335273023598, terminated: False, truncated: False
distance_to_goal: 1.5451029901005027, terminated: False, truncated: False
distance_to_goal: 1.545478351390473, terminated: False, truncated: False
distance_to_goal: 1.546972916741363, terminated: False, truncated: False
distance_to_goal: 1.5465827149954943, terminated: False, truncated: False
distance_to_goal: 1.545538575172021, terminated: False, truncated: False
distance_to_goal: 1.545237181861248, terminated: False, truncated: False
distance_to_goal: 1.5444962070476722, terminated: False, truncated: False
distance_to_goal: 1.5431207949230514, terminated: False, truncated: False
distance_to_goal: 1.5422698890739088, terminated: False, truncated: False
distance_to_goal: 1.5413063477107614, terminated: False, truncated: False
distance_to_goal: 1.5411408907194595, terminated: False, truncated: False
distance_to_goal: 1.5404512203264373, terminated: False, truncated: False
distance_to_goal: 1.5391492899424961, terminated: False, truncated: False
distance_to_goal: 1.5375250803697718, terminated: False, truncated: False
distance_to_goal: 1.5359415876891622, terminated: False, truncated: False
distance_to_goal: 1.5339035535322427, terminated: False, truncated: False
distance_to_goal: 1.5330995304507966, terminated: False, truncated: False
distance_to_goal: 1.5319893852221904, terminated: False, truncated: False
distance_to_goal: 1.5315546909363522, terminated: False, truncated: False
distance_to_goal: 1.5325245401466183, terminated: False, truncated: False
distance_to_goal: 1.5335879937357395, terminated: False, truncated: False
distance_to_goal: 1.5346930923656863, terminated: False, truncated: False
distance_to_goal: 1.5347927758071684, terminated: False, truncated: False
distance_to_goal: 1.5350194406447373, terminated: False, truncated: False
distance_to_goal: 1.5347344714986098, terminated: False, truncated: False
distance_to_goal: 1.533899884110152, terminated: False, truncated: False
distance_to_goal: 1.5340368729787697, terminated: False, truncated: False
distance_to_goal: 1.5335722031898205, terminated: False, truncated: False
distance_to_goal: 1.5326047135675864, terminated: False, truncated: False
distance_to_goal: 1.5328698508886582, terminated: False, truncated: False
distance_to_goal: 1.5339461315922438, terminated: False, truncated: False
distance_to_goal: 1.53403927829479, terminated: False, truncated: False
distance_to_goal: 1.5342384060142402, terminated: False, truncated: False
distance_to_goal: 1.5344276085036646, terminated: False, truncated: False
distance_to_goal: 1.534670930048839, terminated: False, truncated: False
distance_to_goal: 1.5349742979064938, terminated: False, truncated: False
distance_to_goal: 1.5352728056422988, terminated: False, truncated: False
distance_to_goal: 1.5351361028974, terminated: False, truncated: False
distance_to_goal: 1.5354419098620806, terminated: False, truncated: False
distance_to_goal: 1.5353104096104968, terminated: False, truncated: False
distance_to_goal: 1.5355448343901459, terminated: False, truncated: False
distance_to_goal: 1.5354071682118706, terminated: False, truncated: False
distance_to_goal: 1.53603211587159, terminated: False, truncated: False
distance_to_goal: 1.536134582330064, terminated: False, truncated: False
distance_to_goal: 1.5356550971000036, terminated: False, truncated: False
distance_to_goal: 1.5352383005696633, terminated: False, truncated: False
distance_to_goal: 1.5354163667710383, terminated: False, truncated: False
distance_to_goal: 1.5363514531126847, terminated: False, truncated: False
distance_to_goal: 1.5385189707478752, terminated: False, truncated: False
distance_to_goal: 1.541386702659594, terminated: False, truncated: False
distance_to_goal: 1.543064618942193, terminated: False, truncated: False
